movie_id,tmdb_id,release_date,genres,original_language,runtime,vote_average,poster_path,title,overview
3-women,41662,1977-04-10,['Drama'],en,124,3.6,/uL5Yg8MEgHGXymTaJBYXn9g0xsH.jpg,3 Women,"Two co-workers, one a vain woman and the other an awkward teenager, share an increasingly bizarre relationship after becoming roommates."
30-days-of-night,4513,2007-10-17,"['Horror', 'Thriller']",en,113,3.2,/7LwSrvFA0gz1KAlcrGcinoQPene.jpg,30 Days of Night,"This is the story of an isolated Alaskan town that is plunged into darkness for a month each year when the sun sinks below the horizon. As the last rays of light fade, the town is attacked by a bloodthirsty gang of vampires bent on an uninterrupted orgy of destruction. Only the small town's husband-and-wife Sheriff team stand between the survivors and certain destruction."
30-minutes-or-less,62206,2011-08-11,"['Action', 'Adventure', 'Comedy']",en,83,2.9,/pfsNMZcA9aAzvEqdOnq40KwEl7h.jpg,30 Minutes or Less,"Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and advise him that he has mere hours to rob a bank or else..."
300,1271,2007-03-07,"['Action', 'Adventure', 'War']",en,116,3.6,/h7Lcio0c9ohxPhSZg42eTlKIVVY.jpg,300,"Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy."
300-rise-of-an-empire,53182,2014-03-05,"['Action', 'Drama', 'War']",en,102,3.0,/wYDdWN1McB1Sio4z1dPSkb40Z78.jpg,300: Rise of an Empire,"Greek general Themistocles attempts to unite all of Greece by leading the charge that will change the course of the war. Themistocles faces the massive invading Persian forces led by mortal-turned-god, Xerxes and Artemesia, the vengeful commander of the Persian navy."
31-2016,284564,2016-09-15,"['Horror', 'Thriller']",en,102,2.7,/jHkIIkP4O0vUkSACcizOPZQIiF7.jpg,31,"Five carnival workers are kidnapped and held hostage in an abandoned, Hell-like compound where they are forced to participate in a violent game, the goal of which is to survive twelve hours against a gang of sadistic clowns."
310-to-yuma,14168,1957-08-07,"['Western', 'Drama', 'Thriller']",en,92,3.6,/emYeJVZrpl2WfndJlhbls1e7lzQ.jpg,3:10 to Yuma,"Dan Evans, a small time farmer, is hired to escort Ben Wade, a dangerous outlaw, to Yuma. As Evans and Wade wait for the 3:10 train to Yuma, Wade's gang is racing to free him."
310-to-yuma-2007,5176,2007-09-06,['Western'],en,122,3.6,/voMB69AsLnPNmtfbrBl0lbeFKDH.jpg,3:10 to Yuma,"In Arizona in the late 1800s, infamous outlaw Ben Wade and his vicious gang of thieves and murderers have plagued the Southern Railroad. When Wade is captured, Civil War veteran Dan Evans, struggling to survive on his drought-plagued ranch, volunteers to deliver him alive to the ""3:10 to Yuma"", a train that will take the killer to trial."
35-shots-of-rum,26191,2009-02-18,['Drama'],fr,101,3.4,/joOoCuOaiZXZZRiS4JpontBL3Gz.jpg,35 Shots of Rum,A widower and her daughter witness the retirement of a colleague of his and the closing of her department at her university.
365-days-2020,664413,2020-02-07,"['Romance', 'Drama']",pl,116,3.5,/6KwrHucIE3CvNT7kTm2MAlZ4fYF.jpg,365 Days,"A woman falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him."
4-44-last-day-on-earth,86820,2012-03-23,"['Drama', 'Science Fiction']",en,82,2.3,/A7ZJEhAhStHFKYRNT85laIwwayB.jpg,4:44 Last Day on Earth,A look at how a painter and a successful actor spend their last day together before the world comes to an end.
4-months-3-weeks-and-2-days,2009,2007-08-24,['Drama'],ro,114,3.8,/acEtvzFPeOQwbzRWncjRLenhnKV.jpg,"4 Months, 3 Weeks and 2 Days",Two college roommates have 24 hours to make the ultimate choice as they finalize arrangements for a black market abortion.
40-days-and-40-nights,2752,2002-03-01,"['Comedy', 'Romance']",en,94,2.8,/5a60NuJToRAc0gijjI5IRSVGKL3.jpg,40 Days and 40 Nights,"Matt Sullivan's last big relationship ended in disaster and ever since his heart's been aching and his commitment's been lacking. Then came Lent, that time of year when everybody gives something up. That's when Matt decides to go where no man's gone before and make a vow: No sex. Whatsoever. For 40 straight days. At first he has everything under control. That is until the woman of his dreams, Erica, walks into his life."
42,109410,2013-04-12,['Drama'],en,128,3.6,/iZ7jVGQWj3eBUdqwAPUlKk0BaS2.jpg,42,"In 1946, Branch Rickey (Harrison Ford), owner of the Brooklyn Dodgers, took a stand against Major League Baseball's infamous colour line when he signed Jackie Robinson (Chadwick Boseman) to the team. The deal put both men in the crosshairs of the public, the press and even other players. Facing unabashed racism from every side, Robinson was forced to demonstrate tremendous courage and let his talent on the field wins over fans and his teammates – silencing his critics and forever changing the world by changing the game of baseball."
42nd-street,3062,1933-03-11,"['Comedy', 'Drama', 'Romance']",en,89,3.5,/q4UEd8BL74zVsOOaJkKVMLMmdTg.jpg,42nd Street,"A producer puts on what may be his last Broadway show, and at the last moment a chorus girl has to replace the star."
